,email_body,subject_line
2180,"FYI.
Any thoughts Joe & Co.?
Is release from contracts an ""increase supply""  option?
My fear is that QFs get released and then California's ""police  state"" mentality kicks in, enacting Exec Orders, legislation, etc.
to ensure  that the power from the QF facilities stays in California.
Best,
",Ridgewood's Petition To Be Released From QF Contracts
2181,"FYI.
In case folks hadn't heard.
""Likewise, the state is paying $25,000 through June to a Washington, D.C.,  firm headed by former Sen. J. Bennett Johnston.
He served as chairman of the  Senate's energy committee and will advise California on dealing with federal  energy regulators. ""
Best,
",B. Johnston Lobbies for Davis in D.C.
2182,"Greetings Mr. Newlywed and Ms Bride-to-be!
(Shewt, I'm gettin' all choked  up.)
I think I'll need to protest TURN's proposal.
You folks aware of this?
Care?
Best,
",FYI
2183,"- Hertzberg final.doc  Here it is darlin'.
It's an attachment to the main text of the document.
If  you have any questions, or need anything else.
Don't hesitate.
Best,
",can you send info
2184,"FYI.
As part of the computer deal Enron bought me for home, I get these=20 ads.
If there's anything you want (I think the prices are supposed to be= =20 good) let me know.
If it looks like complete crap, please let me know that= ,=20 too.
",PROVANTAGE - The Original Advantage #e11603
2185,"We're getting a lot of inquiries about Enron's role in California's de-reg  history, with a lot of misinformation arising out of Peace's handywork.
I spent about 3 hours on Friday with a Sac Bee reporter (Dale Kasler).
He'll  be interviewing Skilling on the same topic in a week or so, and he'd like to  talk to Steve, too.
Sue spent time with a NYT reporter discussing the same.
Some common themes  are arising in the questions.
Thought it would be a good idea to spend 30  minutes discussing those themes and developing our messages to ensure  consistency.
If folks think it would be useful, is there a time this week  that we could squeeze in 30 minutes?
Thanks.
Best,
",Messages Regarding Recent Interest in the History of De-regulation  In California
2186,"Greetings: Saw your QF story.
You were right.
One never know what the ""story du jour""  will be.
You still interested in talking to Steve Kean?
If you are, when do you talk  to Skilling, and would you want to schedule something around that, or sooner?
Best,
",Steve Kean
2187,"Mike:  Here are my comments.
Apologies for the fact that they are quick and  dirty.
All Enron's public statements that I have read, including, I think,  statements made to financial analysts, state that our exposure in California  is not ""material.""
Dennis' declaration says that the situation in California  has been a ""financial disaster,"" that ""Enron has lost over $300 million,"" and  that ""Enron stands to lose millions more.""
The losses are described as  ""huge.""
Perhaps this is information that has since been communicated to the  market, but I'm not aware of it.
And if it hasn't, it could represent a  significant conflict with previous statements.
Seems prudent to run this by  IR and perhaps others before releasing.
Regarding the statements about our hedging strategy.
It would seem prudent  to run this through the organization for comment and discussion prior to  making public.
Very minor technical point--I don't think that AB 1890 was passed
",Comments on Dennis' Declaration in UC/CSU Lawsuit
2188,"FYI.
Just got a call from someone inside McKenzie & Co..
Seems the good  Governor has figured out that the gas industry is a problem and want to talk  to me about it.
I'm scheduled to talk to them by phone Friday at 1:30.
I  called Kari Dohn to try to find out more.
She told me that they've figured  out that the gas industry is a mess, that ""McKenzie gets it,"" and she asked  to tell it like it is.
Seems useful to get our view across to them.
The  name of the person from McKenzie that will be on the call with the Davis  folks on Friday is Daniel Poller.
Thoughts?
Best,
",Administration Wants to Talk to Me About CA's Gas Problems
2189,"See highlighted portion.
We should throw this back at Davis next time he  points the finger.
*****************************************************************  The controller's criticism of fellow Democrat Davis won support from
",Davis' Spokesperson Learns from Palmer---check out the quote
2190,"I spoke yesterday with President Lynch's gas advisor and the PUC staffer who  first got in touch with us regarding inquiries from our customer regarding  whether we were returning customers to the LDCs.
I described our activities generally, and explained that the originial  inquiry from our customer stemmed from a mix-up (on our part) that has since  been cleared up.
Both seemed satisfied, appreciated the call and the information and will get  back to me regarding whether we'll need to submit a formal response to  President Lynch's letter.
(I said that our preference was not to respond  formally, but would be happy to do so.)
I asked them to contact me directly should they receive any other inquiries  from our customers.
Thanks to all for the help in responding.
Please keep me in the loop on our marketing activities, etc.
If I hear anything about customers calling the PUC, I'll let you know, and  I'll let you know what I hear back from Lynch's office regarding whether we  need to respond formally.
Best,
",Update on Inquiry by CA PUC President of Enron's Gas Activities in  CA
2191,"HEADLINE: Davis faces dire political consequences if power woes linger  BYLINE: By Daniel Borenstein  BODY:  ?
?WALNUT CREEK, Calif. _ As Democrats prepare for their first statewide convention since the electricity crisis erupted, some elected officials and strategists are warning of dire political consequences if Gov.
Gray Davis  fails to clean up the power mess.
??
""All of us should be thinking about the effect the energy crisis is going to have on our chances of maintaining control of both houses, and the effect the governor will have on the ticket up and down,"" said state Sen. Don Perata, D-Alameda.
""If he has not performed well and he has a D after his name, that could be problematic.""
?
?Garry South, the governor's top political strategist, said Thursday that the state's electricity woes probably won't be over soon, but the voters  understand Davis didn't create the problem.
??
""It won't be solved in six months,"" South said.
""This is an immediate  problem that is not susceptible to an immediate solution.
This is a several-year  process to get this situation back under control.""
?
?As for the governor's critics, ""I think they should be asked to produce  their own plan.
It's awful easy to take pot shots, but most of those who I read  about in the newspapers have no plan.""
?
?The intraparty sniping on the eve of the party convention highlights the frustration Democrats are feeling about the crisis_and its potential political damage.
?
?Four months ago, this weekend's convention in Anaheim seemed certain to be a Davis fete.
Although Democrats had lost the presidency, Al Gore easily carried California and the party was in firm control of the Legislature and the  state's congressional delegation.
?
?Davis had led the Gore effort in California and the governor was personally and politically popular across the state.
This would have been the convention for him to showcase his achievements for education, the issue he had promised  to make the hallmark of his first term.
?
?But electricity now overshadows everything else.
To be sure, the governor will tout his policy achievements during a Saturday morning speech to the convention delegates.
And he is not shying away from the spotlight.
?
?Tonight, he will host a party for the delegates at Disney's California Adventure Theme Park.
That prompted one Democratic consultant from Sacramento who won't be attending to quip, ""We're in fantasy land here, thank you.
We  don't need to go to Disneyland for that.""
?
?Some are shaking their heads in disbelief at how the governor has handled  the events of the past week.
""In many ways, he appears to have gone politically  tone deaf,"" said Sherry Bebitch Jeffe, political analyst at Claremont Graduate University.
""His instincts are not serving him well.""
?
?While his top aides were meeting with legislators last week to warn them  that a $10 billion bond package won't be enough to get the state out of the crisis, Davis was at a $10,000-per-person Palm Springs golf tournament to raise money for his re-election campaign.
?
?When his hand-picked members of the Public Utilities Commission this week approved an electricity rate hike that experts have been predicting for  months, Davis claimed that he didn't know about the plan before it was announced and that he thought it was premature.
?
?Other Democrats, however, thought the commission action was overdue.
""I'm glad to see the PUC stepping out and doing something along the lines that some of us have been talking about needing to be done for the last six or eight weeks,"" said state Sen. Tom Torlakson, D-Antioch.
""There's a high level of frustration.
There haven't been clear answers to what the solution is.""
?
?South, the Davis political strategist, said a lot of factors are outside the governor's control.
""No one can predict with any certainty where this is going to go, and no one can predict when this situation is going to be brought under control.
We don't control the generators, we don't control the FERC (Federal Energy Regulatory Commission), we don't control what Wall Street is going to do.""
?
?As for the potential political fallout, South said the governor and  Democrats remain in a strong position.
After all, he said, the deregulation plan was pushed through by a Republican governor and Republicans in Washington are blocking efforts to cap prices.
?
?Jack Pitney, government professor at Claremont McKenna College, predicted Davis could weather the electricity crisis.
""People who are following it know it's roots run deeper than the Davis administration and the Republicans don't have any plausible alternatives,"" he said.
??
""My read of public opinion is people don't think there's a simple and easy solution and they're not expecting one.
They may be impatient but they won't necessarily take it out on (Davis).""
?
?It's too early to predict the political outcome, said Mark Baldassare, pollster at the Public Policy Institute of California.
??
""The impacts won't be clear until people have gone through a few billing cycles and we've gone through the summer blackouts, until we see what the personal impacts are so we know what the political impacts are,"" he said.
""That's the really crucial period for Gray Davis' political future, after this summer.""
",Davis faces dire political consequences if power woes linger
